"Host","Host_Upham"
"rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"rhinolophus hildebrandti","Rhinolophus hildebrandtii"
"rhinolophus hipposideros","Rhinolophus hipposideros"
"rhinolophus lepidus","Rhinolophus lepidus"
"rhinolophus macrotis","Rhinolophus macrotis"
"rhinolophus mehelyi","Rhinolophus mehelyi"
"rhinolophus pearsonii","Rhinolophus pearsonii"
"rhinolophus pusillus","Rhinolophus pusillus"
"rhinolophus rouxii","Rhinolophus rouxii"
"rhinolophus sinicus","Rhinolophus sinicus"
"rhinophylla pumilio","Rhinophylla pumilio"
"rhogeessa parvula","Rhogeessa parvula"
"rhynchonycteris naso","Rhynchonycteris naso"
"rousettus aegyptiacus","Rousettus aegyptiacus"
"rousettus amplexicaudatus","Rousettus amplexicaudatus"
"rousettus leschenaultii","Rousettus leschenaultii"
"rousettus madagascariensis","Rousettus madagascariensis"
"saccolaimus flaviventris","Saccolaimus flaviventris"
"saccolaimus saccolaimus","Saccolaimus saccolaimus"
"scotophilus kuhlii","Scotophilus kuhlii"
"scotophilus nigrita","Scotophilus nigrita"
"sturnira lilium","Sturnira lilium"
"sturnira ludovici","Sturnira ludovici"
"sturnira tildae","Sturnira tildae"
"syconycteris australis","Syconycteris australis"
"tadarida brasiliensis","Tadarida brasiliensis"
"tadarida teniotis","Tadarida teniotis"
"taphozous melanopogon","Taphozous melanopogon"
"taphozous perforatus","Taphozous perforatus"
"taphozous theobaldi","Taphozous theobaldi"
"tonatia bidens","Tonatia bidens"
"trachops cirrhosus","Trachops cirrhosus"
"tylonycteris pachypus","Tylonycteris pachypus"
"uroderma bilobatum","Uroderma bilobatum"
"vampyrodes caraccioli","Vampyrodes caraccioli"
"vespadelus pumilus","Vespadelus pumilus"
"vespertilio murinus","Vespertilio murinus"
"vespertilio sinensis","Vespertilio sinensis"
"cabassous centralis","Cabassous centralis"
"chaetophractus vellerosus","Chaetophractus vellerosus"
"dasypus novemcinctus","Dasypus novemcinctus"
"tolypeutes matacus","Tolypeutes matacus"
"dasycercus cristicauda","Dasycercus cristicauda"
"sarcophilus harrisii","Sarcophilus harrisii"
"caluromys derbianus","Caluromys derbianus"
"caluromys philander","Caluromys philander"
"chironectes minimus","Chironectes minimus"
"didelphis marsupialis","Didelphis marsupialis"
"didelphis virginiana","Didelphis virginiana"
"marmosa demerarae","Marmosa demerarae"
"marmosa murina","Marmosa murina"
"marmosa robinsoni","Marmosa robinsoni"
"marmosops parvidens","Marmosops parvidens"
"metachirus nudicaudatus","Metachirus nudicaudatus"
"monodelphis domestica","Monodelphis domestica"
"philander opossum","Philander opossum"
"bettongia gaimardi","Bettongia gaimardi"
"bettongia penicillata","Bettongia penicillata"
"dendrolagus goodfellowi","Dendrolagus goodfellowi"
"dorcopsis muelleri","Dorcopsis muelleri"
"dorcopsis veterum","Dorcopsis muelleri"
"lagorchestes conspicillatus","Lagorchestes conspicillatus"
"macropus fuliginosus","Macropus fuliginosus"
"macropus giganteus","Macropus giganteus"
"notamacropus agilis","Macropus agilis"
"notamacropus dorsalis","Macropus dorsalis"
"notamacropus eugenii","Macropus eugenii"
"notamacropus parma","Macropus parma"
"notamacropus parryi","Macropus parryi"
"notamacropus rufogriseus","Macropus rufogriseus"
"onychogalea unguifera","Onychogalea unguifera"
"osphranter robustus","Macropus robustus"
"osphranter rufus","Macropus rufus"
"petaurus breviceps","Petaurus breviceps"
"phascolarctos cinereus","Phascolarctos cinereus"
"potorous tridactylus","Potorous tridactylus"
"pseudocheirus peregrinus","Pseudocheirus peregrinus"
"setonix brachyurus","Setonix brachyurus"
"thylogale billardierii","Thylogale billardierii"
"trichosurus vulpecula","Trichosurus vulpecula"
"vombatus ursinus","Vombatus ursinus"
"wallabia bicolor","Wallabia bicolor"
"atelerix albiventris","Atelerix albiventris"
"crocidura lasiura","Crocidura lasiura"
"crocidura leucodon","Crocidura leucodon"
"crocidura olivieri","Crocidura olivieri"
"crocidura russula","Crocidura russula"
"crocidura zaphiri","Crocidura zaphiri"
"erinaceus europaeus","Erinaceus europaeus"
"erinaceus roumanicus","Erinaceus roumanicus"
"hemiechinus auritus","Hemiechinus auritus"
"sorex araneus","Sorex araneus"
"sorex arcticus","Sorex arcticus"
"sorex minutus","Sorex minutus"
"suncus murinus","Suncus murinus"
"sylvisorex ollula","Sylvisorex ollula"
"talpa romana","Talpa romana"
"lepus americanus","Lepus americanus"
"lepus californicus","Lepus californicus"
"lepus capensis","Lepus capensis"
"lepus corsicanus","Lepus corsicanus"
"lepus europaeus","Lepus europaeus"
