"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
8,"37_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"38_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
8,"39_8","Sudan ebolavirus","Gulu","Rousettus_aegyptiacus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Y"
9,"1_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"2_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"3_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"4_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"5_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"6_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Y"
9,"7_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Y"
9,"8_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
9,"9_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
9,"10_9","Lyssavirus rabies","2084","Antrozous_pallidus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
